603519.SH,立霸股份
603268.SH,松发股份
601689.SH,拓普集团
600652.SH,游久游戏
600550.SH,保变电气
600176.SH,中国巨石
601199.SH,江南水务
601116.SH,三江购物
601009.SH,南京银行
600835.SH,上海机电
900925.SH,机电B股
600836.SH,界龙实业
600838.SH,上海九百
600839.SH,四川长虹
600840.SH,新湖创业
900920.SH,上柴B股
600841.SH,上柴股份
600842.SH,中西药业
600843.SH,上工申贝
900924.SH,上工B股
900926.SH,宝信B
600845.SH,宝信软件
600846.SH,同济科技
601607.SH,上海医药
600849.SH,上药转换
600850.SH,华东电脑
900917.SH,海欣B股
600851.SH,海欣股份
600852.SH,*ST中川
600853.SH,龙建股份
600854.SH,春兰股份
600855.SH,航天长峰
600858.SH,银座股份
600018.SH,上港集团
600859.SH,王府井
601107.SH,四川成渝
601333.SH,广深铁路
601727.SH,上海电气
601099.SH,太平洋
600827.SH,百联股份
600830.SH,香溢融通
900952.SH,锦港B股
600191.SH,华资实业
600192.SH,长城电工
600193.SH,创兴资源
600821.SH,津劝业
600822.SH,上海物贸
900927.SH,物贸B股
600824.SH,益民集团
600825.SH,新华传媒
600826.SH,兰生股份
900923.SH,百联B股
600195.SH,中牧股份
600196.SH,复星医药
600197.SH,伊力特
600198.SH,大唐电信
600831.SH,广电网络
600188.SH,兖州煤业
600189.SH,吉林森工
600190.SH,锦州港
600600.SH,青岛啤酒
600601.SH,方正科技
900902.SH,市北B股
600358.SH,国旅联合
600359.SH,新农开发
600360.SH,华微电子
600199.SH,金种子酒
600200.SH,江苏吴中
600182.SH,S佳通
600183.SH,生益科技
600185.SH,格力地产
600187.SH,国中水务
600604.SH,市北高新
600605.SH,汇通能源
600607.SH,上实医药
600609.SH,金杯汽车
600611.SH,大众交通
900903.SH,大众B股
900905.SH,老凤祥B
600612.SH,老凤祥
900904.SH,神奇B股
600356.SH,恒丰纸业
600357.SH,承德钒钛
600613.SH,神奇制药
600615.SH,丰华股份
600616.SH,金枫酒业
900913.SH,国新B股
600617.SH,国新能源
600618.SH,氯碱化工
900908.SH,氯碱B股
600619.SH,海立股份
900910.SH,海立B股
600620.SH,天宸股份
600621.SH,华鑫股份
600624.SH,复旦复华
600527.SH,江南高纤
600158.SH,中体产业
600159.SH,大龙地产
600160.SH,巨化股份
600161.SH,天坛生物
600162.SH,香江控股
600165.SH,新日恒力
601818.SH,光大银行
600361.SH,华联综超
600362.SH,江西铜业
600363.SH,联创光电
600365.SH,通葡股份
600366.SH,宁波韵升
600367.SH,红星发展
600368.SH,五洲交通
600369.SH,西南证券
600371.SH,万向德农
600372.SH,中航电子
600373.SH,中文传媒
600180.SH,瑞茂通
600181.SH,S*ST云大
600897.SH,厦门空港
600899.SH,*ST信联
900929.SH,锦旅B股
600295.SH,鄂尔多斯
900936.SH,鄂资B股
900939.SH,汇丽B
600272.SH,开开实业
900943.SH,开开B股
900947.SH,振华B股
600167.SH,联美控股
600168.SH,武汉控股
600169.SH,太原重工
600170.SH,上海建工
600171.SH,上海贝岭
600172.SH,黄河旋风
600173.SH,卧龙地产
600175.SH,美都能源
600177.SH,雅戈尔
600260.SH,凯乐科技
600261.SH,阳光照明
600262.SH,北方股份
600263.SH,路桥建设
600269.SH,赣粤高速
600270.SH,外运发展
600276.SH,恒瑞医药
600278.SH,东方创业
600151.SH,航天机电
600152.SH,维科精华
900938.SH,天海B
600752.SH,*ST哈慈
600753.SH,东方银星
600754.SH,锦江股份
900934.SH,锦江B股
600755.SH,厦门国贸
600756.SH,浪潮软件
600757.SH,长江传媒
600758.SH,红阳能源
600759.SH,洲际油气
600761.SH,安徽合力
600999.SH,招商证券
600148.SH,长春一东
600150.SH,中国船舶
600307.SH,酒钢宏兴
600308.SH,华泰股份
600309.SH,万华化学
600310.SH,桂东电力
